,Asset Class ,Fund Type,Fund,CCY,Advanced Ratio ,Beta,CAPM,Sharpe Ratio,SML_Value,Position
34,Equities,AC Asia ex-Japan Equity,Invesco Asia Consumer Demand,USD,70,1.06,8.16,-0.11,10.534,Below
35,Equities,AC Asia ex-Japan Equity,Wellington Asian Opportunities,USD,70,1.0,10.24,0.14,9.94,Above
36,Thematics,Digital Transformation,Janus Henderson Horizon Global Technology Leaders,USD,75,0.89,9.35,0.64,8.850999999999999,Above
37,Thematics,Digital Transformation,BlackRock Next Generation Technology,USD,70,0.81,9.94,-0.05,8.059,Above
38,Thematics,Digital Transformation,Pictet Digital (AI),USD,70,0.76,8.4,0.25,7.564,Above
39,Thematics,Digital Transformation,T.RowePrice Global Technology Equity,USD,70,0.99,10.24,0.29,9.841,Above
40,Thematics,Digital Transformation,Credit Suisse Global Digital Health Equity,USD,70,0.73,11.13,0.15,7.267,Above
41,Thematics,Digital Transformation,Credit Suisse Global Robotics Equity,USD,70,0.77,9.7,0.27,7.663,Above
42,Thematics,Digital Transformation,BNY Mellon Mobility Innovation,USD,70,0.95,10.12,0.38,9.444999999999999,Above
43,Thematics,Digital Transformation,Neuberger Berman 5G Connectivity,USD,70,1.02,9.52,-0.02,10.138,Below
44,Thematics,Digital Transformation,Pictet Security,USD,70,0.82,9.88,0.29,8.158,Above
45,Thematics,Digital Transformation,Wellington Global Health Care Equity,USD,70,0.85,10.18,0.31,8.455,Above
46,Thematics,Digital Transformation,Janus Henderson Global Life Sciences,USD,70,0.91,10.06,0.51,9.049,Above
47,Thematics,Digital Transformation,Wellington Asia Technology,USD,70,1.13,9.46,0.38,11.226999999999999,Below
48,Thematics,Investing in a Sustainable Future (ESG),Schroder Global Sustainable Growth,USD,70,0.75,8.99,0.82,7.465000000000001,Above
49,Thematics,Investing in a Sustainable Future (ESG),Pictet Global Environmental Opportunities,USD,70,0.94,10.06,0.52,9.345999999999998,Above
50,Thematics,Investing in a Sustainable Future (ESG),RobecoSAM Sustainable Water Equities USD,USD,70,1.02,10.06,0.53,10.138,Below
51,Thematics,Investing in a Sustainable Future (ESG),Neuberger Berman Sustainable Asia High Yield,USD,60,1.04,10.18,-0.45,10.336,Below
52,Thematics,Investing in a Sustainable Future (ESG),BlackRock Sustainable Energy,USD,70,0.85,7.21,0.71,8.455,Below
53,Thematics,Investing in a Sustainable Future (ESG),Wellington Global Impact,USD,70,0.89,9.94,0.32,8.850999999999999,Above
54,Thematics,Investing in a Sustainable Future (ESG),Schroder Global Energy Transition,USD,70,0.96,8.22,0.34,9.543999999999999,Below
55,Thematics,Investing in a Sustainable Future (ESG),BNP Paribas Green Tigers,USD,70,0.0034,10.95,-0.77,0.07366,Above
56,Thematics,Investing in a Sustainable Future (ESG),HSBC GIF Global Equity Sustainable Healthcare,USD,70,0.73,8.34,-0.82,7.267,Above
57,Thematics,Investing in a Sustainable Future (ESG),BNP Paribas Climate Impact,USD,70,1.11,10.59,-0.6,11.029,Below
